PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
5,https://www.visitbanjarmasin.id/zh,马辰旅游 | 探索旅游与文化,text/html; charset=utf-8,false,200,0,2,探索千河之城！马辰目的地、文化和美食的官方指南。,,,24,1,false
5,https://www.visitbanjarmasin.id/zh/wisata,顶级旅游目的地 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,探索 Lok Baintan 水上市场、Menara Pandang、长鼻猴雕像以及马塔普拉河游船村的奇观。,,,54,1,false
5,https://www.visitbanjarmasin.id/ms,Visit Banjarmasin | Penerokaan Pelancongan,text/html; charset=utf-8,false,200,0,2,"Terokai Kota Seribu Sungai! Panduan rasmi destinasi pelancongan, budaya, dan masakan Banjarmasin.",,,97,1,false
5,https://www.visitbanjarmasin.id/id,Visit Banjarmasin | Eksplorasi Wisata & Budaya,text/html; charset=utf-8,false,200,0,1,"Jelajahi Kota Seribu Sungai! Panduan resmi destinasi wisata, budaya, dan kuliner Banjarmasin.",,,93,1,false
1,https://www.visitbanjarmasin.id/zh/budaya,艺术与文化 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,探索Sasirangan织物杰作、Bubungan Tinggi传统民居建筑、传统舞蹈和Madihin艺术。,,,54,1,false
1,https://www.visitbanjarmasin.id/zh/panduan,旅游指南与交通 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,BRT Trans Banjarmasin 路线、旅游船、无障碍路线以及游客旅行提示的实用指南。,,,48,1,false
1,https://www.visitbanjarmasin.id/zh/kuliner,正宗美食 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,品尝正宗的Soto Banjar、Ketupat Kandangan、Lontong Orari以及各种传统Banjar糕点。,,,63,1,false
1,https://www.visitbanjarmasin.id/zh/profil,城市概况 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,了解千河之城的愿景、使命、城市领导人、公共设施和基础设施进展。,,,31,1,false
1,https://www.visitbanjarmasin.id/zh/sejarah,历史遗迹 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,了解班查苏丹国的悠久历史，Antasari 王子的斗争，以及马辰市的演变。,,,37,1,false
1,https://www.visitbanjarmasin.id/zh/smart-city,智慧城市 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,通过交互式公共闭路电视集成、应急服务和智能交通，实现马辰市的数字化转型。,,,36,1,false
0,https://www.visitbanjarmasin.id/zh/profil-kota,城市概况 | 马辰旅游,text/html; charset=utf-8,false,200,0,2,了解千河之城的愿景、使命、城市领导人、公共设施和基础设施进展。,,,31,1,false
